trial_number,trial_outcome,target_index,reaction_time,movement_time,trial_duration,endpoint_error,max_speed,mean_speed,peak_speed_time,speed_variability,path_length,straight_distance,path_efficiency,total_curvature
1,lose,4,32.151547,4.013927,36.165474,0.594117404466289,1.1908656992904214,0.046641619011008655,33.950558901,0.17817482679977256,1.6897081076978602,1.0,0.5918181935946607,29.941739405221522
2,win,4,0.05208,2.653523,2.705604,0.6327400350188904,0.9637622858297538,0.36179705364059017,0.513972998,0.3205652190066643,0.9878364125421593,1.0,1.0123133621148244,19.136009205866436
3,win,7,0.412719,2.987431,3.400151,0.6122479113355441,0.8441266581232937,0.17665955257718197,0.59231782,0.2047619365448958,0.6045348307519935,1.0,1.6541644072949098,22.732808560033533
4,win,7,0.69751,2.362061,3.059571,0.6152196115371318,0.8247930601566432,0.19282109826609345,2.162686109,0.2070766853199564,0.5935065038795292,1.0,1.6849015022807257,7.882730776772707
5,win,5,3.166074,1.315865,4.48194,0.6349665688465865,0.858724235554386,0.08417584608988851,3.294904948,0.18209658625328293,0.3800835348835907,1.0,2.631000578086796,13.741758245968512
6,win,1,0.335384,1.3916819999999999,1.727067,0.6393618818241172,0.9999633969559424,0.23415984242640103,0.463753224,0.2886570052772611,0.4098220228921172,1.0,2.440083607374226,7.306538442667916
7,win,6,0.54228,1.903261,2.445541,0.5927728173430319,0.8211374046424479,0.18242250151828654,1.286031961,0.20995474866823616,0.44922978272054087,1.0,2.226032285624493,31.80467647796896
8,win,5,0.41329,1.981681,2.394972,0.6032981709143361,0.743110600301705,0.19200492336444772,1.650912047,0.2105851061286732,0.4654256935553581,1.0,2.148570682381245,24.301124972152696
9,win,6,0.563899,1.780397,2.344296,0.635635219694126,0.810333251953125,0.23358731399906957,1.153980016,0.26073589437633,0.5542030060679708,1.0,1.8043929553809637,12.566370614359172
10,win,5,0.514986,2.397411,2.912398,0.639428965091194,0.7119242146766287,0.164765600339455,1.366883993,0.1750600995178024,0.48373344589986567,1.0,2.067254204719603,27.11703937495936
11,win,4,0.94939,2.620536,3.569926,0.6332220178512867,0.6391793023047486,0.15157288063529423,1.15443182,0.2074975702356018,0.5453839025702507,1.0,1.8335708026717754,26.264785022794552
12,lose,2,0.333277,4.020499,4.353777,0.8799629213005433,1.0435286931522443,0.3239390668713229,3.788848877,0.33653294821087826,1.4176418109820645,1.0,0.7053968021070532,25.289914958229524
13,win,2,0.357625,1.388935,1.7465600000000001,0.6191281397335385,0.9658655212937756,0.2425031618020643,0.460269928,0.28872594926659684,0.4305523177500087,1.0,2.322598111248885,7.479604154280518
14,win,4,0.386124,2.113286,2.49941,0.6192675476117592,0.5631894350286398,0.2505299934556845,1.516942024,0.19239984452691458,0.6317887550859763,1.0,1.5828075317103674,20.017208032390762
15,win,4,0.207489,2.909893,3.117383,0.5952356662109796,0.5835058650391719,0.2006792493900518,0.645398856,0.18246047712163047,0.6307296804847062,1.0,1.5854652649793095,23.94879783302231
16,win,0,0.414429,1.723279,2.137708,0.6368209500581067,0.6126469662361077,0.21685406893446363,0.491724014,0.19902371454160458,0.46904917641206384,1.0,2.1319726167080852,10.715162341418644
17,win,2,0.286709,1.51754,1.8042500000000001,0.6261929878164537,0.8731312086989483,0.2928308837252533,0.596694947,0.2948575344197108,0.5355800673969614,1.0,1.8671344601381883,13.819329700008707
18,win,5,0.563716,1.854991,2.418708,0.6117434177566826,0.9714803390549472,0.20089068226183548,1.518052817,0.2560933271905646,0.4921994304575935,1.0,2.031696784107021,24.30176823714057
19,win,1,0.362456,3.557893,3.92035,0.5840752248836512,0.9851799187815623,0.21815326161348342,0.467073679,0.23762952335018594,0.859665353000601,1.0,1.1632433440635601,16.72914240865548
20,win,6,0.540671,1.959562,2.500233,0.6287261525094828,0.6734619140625,0.1686592871888285,1.389302969,0.20402902746081172,0.425552725707279,1.0,2.3498850779018645,28.332228005568517
21,win,4,0.309606,3.804373,4.11398,0.6233289220499236,0.7457075530031121,0.18092534460935508,2.619776965,0.19404498086284627,0.7497053730806477,1.0,1.333857320364206,25.50986255313596
22,win,6,0.693336,3.038295,3.731632,0.5965409346072231,0.8391540589716479,0.14333943693821347,1.208427906,0.21348035584158295,0.5388926975710224,1.0,1.85565698794463,27.69532297605148
23,win,7,0.30797,2.398394,2.7063639999999998,0.6208361849423235,0.8382430413631693,0.19745334035874226,0.771501064,0.26235413182069167,0.5396500408853053,1.0,1.8530527642682701,27.80743727645496
24,win,4,0.335036,2.530513,2.86555,0.6069956474926843,0.6131295818435691,0.21301794945306965,1.367347956,0.1977478396881198,0.6158206875692316,1.0,1.6238493122847197,28.598824904205635
25,win,5,0.312942,3.116478,3.429421,0.6079795010733839,1.0895227336325037,0.2362556335483049,1.315415144,0.23500451321794494,0.8157359553298231,1.0,1.2258868736461104,24.779146933159204
26,win,3,0.41328,1.469649,1.8829289999999999,0.6143964154518938,0.7895775361679706,0.30076923257862925,0.671154022,0.27529114457055026,0.5744759639136703,1.0,1.7407168668770894,9.348510592821986
27,win,4,0.360488,2.143406,2.503895,0.6293925402480105,0.7073304625965949,0.2081436020699455,0.568248034,0.22910599037363202,0.5267096970099198,1.0,1.8985790572622903,19.247322195407108
28,win,3,0.598045,1.134621,1.732666,0.6206838601972545,0.5328025920427731,0.2240287123817367,0.781013965,0.2178624503631565,0.39348450113275774,1.0,2.5413961594960255,3.32315788817832
29,win,5,0.362028,1.798559,2.160588,0.6228599500053192,0.9801782447424444,0.1909751475854332,1.186806917,0.23221753939848405,0.41853359889463776,1.0,2.3892944381073247,24.284472553124168
30,win,4,7.311918,1.053987,8.365906,0.588146034065278,0.851409912109375,0.05169383469332057,7.567497968,0.18397204040898313,0.434143396396154,1.0,2.303386411727208,12.088804396012474
31,win,2,0.387125,1.572247,1.959373,0.6330907970853369,0.6730514168655258,0.1880616671569227,0.799785852,0.17976889404560478,0.3728750850374507,1.0,2.6818632837846015,1.6387492519397302
32,win,7,0.385208,1.493223,1.878432,0.6137063875769824,0.7838698329606205,0.2638633151489917,0.488412857,0.2529131746448152,0.5020593592549605,1.0,1.9917963514990877,10.92251136581225
33,win,5,0.359008,1.057886,1.416894,0.6384949164484001,0.937170092331836,0.26316577262758495,1.031203031,0.30404784456070805,0.3804455558227161,1.0,2.6284969943662326,12.643365141518906
34,win,2,0.360193,1.160727,1.52092,0.6044913141397122,0.8233944411574177,0.25734451271597414,0.796135902,0.22750880913711197,0.3977180355274761,1.0,2.5143441098258057,0.5358038732451194
35,win,1,0.33587,1.827623,2.163494,0.6277647328604938,0.6822294633510455,0.2189687725942701,0.540273905,0.23171260480230946,0.47911610620917733,1.0,2.0871767553633647,6.283185307179586
36,win,6,0.536773,1.854256,2.3910299999999998,0.6363429004404912,0.8429859668053573,0.20074771557273877,1.18362093,0.25352700694098085,0.48601926501337817,1.0,2.057531608284034,27.365098481146525
37,win,2,0.335149,2.6218339999999998,2.956984,0.6407311684647287,0.8251047491002845,0.2156393339353296,0.796836138,0.22556798801282324,0.6433256046641189,1.0,1.5544228190981162,16.611380860259402
38,win,3,1.132662,3.278598,4.41126,0.6386637571285054,0.70281982421875,0.15160646448176782,1.568510294,0.19130769744138307,0.6719009416835472,1.0,1.4883146278889743,21.30952082682206
39,win,6,0.180956,1.260921,1.441878,0.6264654172182558,0.7868733708940099,0.2734232943083678,0.438611031,0.26291758790597825,0.39957954426179354,1.0,2.5026306135051484,18.655549330504613
40,win,4,0.358541,1.264377,1.6229179999999999,0.6352280540975028,0.57379150390625,0.23123681166426308,0.670713424,0.21230419895282157,0.38153415131112633,1.0,2.6209973512555598,3.999579492213249
41,win,3,0.386647,1.646677,2.033325,0.6261148388148002,0.614837646484375,0.22040326707095464,0.979110957,0.16974350512148756,0.4540016033865784,1.0,2.202635392784084,8.583556634442303
42,lose,0,0.335736,4.005312,4.341049,0.6236272836055036,0.6501310262872914,0.13585150430852996,0.439279079,0.20198809244038435,0.5935993201391352,1.0,1.6846380480449465,20.40716307787719
43,win,0,0.281432,2.6001659999999998,2.881598,0.6226389363563384,0.721893536961338,0.19369152531262315,0.436077834,0.23653467556732893,0.5638014826431895,1.0,1.7736739451479333,18.301273144941895
44,win,7,0.41076,1.5941969999999999,2.004958,0.594204447257813,0.8038196165784062,0.2313839474544945,0.76918912,0.2654658836044644,0.471725293054177,1.0,2.1198778499357496,9.98343993946791
45,win,5,0.311958,1.264583,1.576541,0.6350359202030809,0.6382819693116578,0.2402647324681466,0.700460911,0.25518201365119286,0.38469913705337105,1.0,2.5994339567787113,11.455044625730398
46,win,7,0.206256,1.415686,1.621943,0.6298747277870455,0.7147357238901242,0.2573368022462314,0.589649916,0.22267568103486296,0.42418940981041364,1.0,2.3574374486315866,18.89842988002036
47,win,0,0.359652,2.006448,2.366101,0.6028413082995888,0.787417908630237,0.20937414935697365,0.974720001,0.21723139657681786,0.49933028123679024,1.0,2.0026824680512103,8.320704544097493
48,win,7,0.310652,2.089947,2.400599,0.5972308855162597,1.0439738835313814,0.22720613792405317,0.853857041,0.2741592171832518,0.5498630310971653,1.0,1.8186347207315559,13.585640594377384
49,lose,0,3.434535,4.024362,7.458898,0.4333255083329957,0.7216872407159184,0.15558218371616128,3.510925293,0.18608827327684588,1.1621678557458972,1.0,0.860460900769093,26.31038861520749
50,win,0,0.309707,2.49168,2.801388,0.6189623925248592,0.6910590745507302,0.13910179204765782,0.413344145,0.1830223995035451,0.3942733845380513,1.0,2.536311197296885,10.713268939377226
51,lose,0,2.853079,4.020138,6.873218,0.8473010389914626,0.8613344655052244,0.2827312561964312,3.139077902,0.25385589304392403,1.9522905611909285,1.0,0.5122188366213193,3.137738161075819
52,win,0,0.127089,1.8822640000000002,2.009353,0.5886672309675407,1.082703822910677,0.287682610287896,0.927094936,0.28303323096565913,0.5861205332609578,1.0,1.7061337101370089,12.827526688716839
53,win,3,0.35939,1.083281,1.442672,0.6005258921835775,0.6899111323318864,0.2898861843617517,0.900366068,0.2446907343208565,0.4257192708110642,1.0,2.348965782297893,7.8874000211723905
54,win,2,0.308632,3.376599,3.685231,0.6318730801803797,0.583619473393433,0.14029710960663472,0.4109838,0.16420385815020888,0.5202406830251365,1.0,1.9221872349258065,18.25898650442919
55,win,4,0.410656,1.416624,1.82728,0.6185253018518668,0.6324462890625,0.21321407500059053,0.87293911,0.1877709182197426,0.3955075085564453,1.0,2.5283970047746487,11.54630569877888
56,win,5,0.871649,1.26159,2.133239,0.5966812330405383,0.6513277582362238,0.19087621907101096,1.821776867,0.21348396836696742,0.4117704409427097,1.0,2.4285376038906388,7.049483427341817
57,win,2,0.386062,1.679345,2.065407,0.5972463467865402,0.69500732421875,0.2596179037701393,0.824050903,0.2502749603298971,0.5425454582343802,1.0,1.8431635263417854,12.951635481974087
58,win,0,0.127944,1.625326,1.753271,0.5926955413437089,0.9690694368825171,0.31510631310709436,0.540685892,0.2768010441830816,0.5595571828680969,1.0,1.7871274475905132,9.65492335406412
59,lose,0,26.566962,4.019609,30.586571,0.40667302203376,1.081737400084534,0.043014130722237746,29.613896132,0.16200684725390105,1.318537678221095,1.0,0.7584159455717261,26.71726628435561
60,lose,0,0.593521,4.008397,4.6019179999999995,0.5037967220098876,0.323516845703125,0.10731777615017361,1.593142987,0.1431663762723149,0.49620327799011243,1.0,2.015303091205952,3.141592653589793
